"year_week","start_date","end_date","influenza_viruses","number_samples","number_detections_influenza_viruses"
"2018-14",2018-04-02,2018-04-08,"A(H1N1) pdm09",171,12
"2018-14",2018-04-02,2018-04-08,"FLU B",171,0
"2018-15",2018-04-09,2018-04-15,"FLU A",165,7
"2018-15",2018-04-09,2018-04-15,"A",165,2
"2018-15",2018-04-09,2018-04-15,"A(H3N2)",165,0
"2018-15",2018-04-09,2018-04-15,"A(H1N1) pdm09",165,5
"2018-15",2018-04-09,2018-04-15,"FLU B",165,1
"2018-16",2018-04-16,2018-04-22,"FLU A",107,4
"2018-16",2018-04-16,2018-04-22,"A",107,1
"2018-16",2018-04-16,2018-04-22,"A(H3N2)",107,0
"2018-16",2018-04-16,2018-04-22,"A(H1N1) pdm09",107,3
"2018-16",2018-04-16,2018-04-22,"FLU B",107,0
"2018-17",2018-04-23,2018-04-29,"FLU A",58,3
"2018-17",2018-04-23,2018-04-29,"A",58,0
"2018-17",2018-04-23,2018-04-29,"A(H3N2)",58,0
"2018-17",2018-04-23,2018-04-29,"A(H1N1) pdm09",58,3
"2018-17",2018-04-23,2018-04-29,"FLU B",58,0
