"year_week","start_date","end_date","influenza_viruses","number_samples","number_sequenced","number_detections_influenza_viruses"
"2021-51",2021-12-20,2021-12-26,"FLU A",318,287,11
"2021-51",2021-12-20,2021-12-26,"A",318,287,1
"2021-51",2021-12-20,2021-12-26,"A(H3N2)",318,287,9
"2021-51",2021-12-20,2021-12-26,"A(H1N1)pdm2009",318,287,1
"2021-51",2021-12-20,2021-12-26,"FLU B",318,287,1
"2021-51",2021-12-20,2021-12-26,"SARS-CoV-2",318,287,60
"2021-52",2021-12-27,2022-01-02,"FLU A",399,389,4
"2021-52",2021-12-27,2022-01-02,"A",399,389,0
"2021-52",2021-12-27,2022-01-02,"A(H3N2)",399,389,3
"2021-52",2021-12-27,2022-01-02,"A(H1N1)pdm2009",399,389,1
"2021-52",2021-12-27,2022-01-02,"FLU B",399,389,0
"2021-52",2021-12-27,2022-01-02,"SARS-CoV-2",399,389,164
"2022-01",2022-01-03,2022-01-09,"FLU A",496,480,10
"2022-01",2022-01-03,2022-01-09,"A",496,480,1
"2022-01",2022-01-03,2022-01-09,"A(H3N2)",496,480,9
"2022-01",2022-01-03,2022-01-09,"A(H1N1)pdm2009",496,480,0
"2022-01",2022-01-03,2022-01-09,"FLU B",496,480,0
"2022-01",2022-01-03,2022-01-09,"SARS-CoV-2",496,480,232
"2022-02",2022-01-10,2022-01-16,"FLU A",303,287,5
"2022-02",2022-01-10,2022-01-16,"A",303,287,0
"2022-02",2022-01-10,2022-01-16,"A(H3N2)",303,287,4
"2022-02",2022-01-10,2022-01-16,"A(H1N1)pdm2009",303,287,1
"2022-02",2022-01-10,2022-01-16,"FLU B",303,287,0
"2022-02",2022-01-10,2022-01-16,"SARS-CoV-2",303,287,110
"2022-03",2022-01-17,2022-01-23,"FLU A",542,527,8
"2022-03",2022-01-17,2022-01-23,"A",542,527,1
"2022-03",2022-01-17,2022-01-23,"A(H3N2)",542,527,6
"2022-03",2022-01-17,2022-01-23,"A(H1N1)pdm2009",542,527,1
"2022-03",2022-01-17,2022-01-23,"FLU B",542,527,0
"2022-03",2022-01-17,2022-01-23,"SARS-CoV-2",542,527,266
"2022-04",2022-01-24,2022-01-30,"FLU A",344,331,14
"2022-04",2022-01-24,2022-01-30,"A",344,331,2
"2022-04",2022-01-24,2022-01-30,"A(H3N2)",344,331,10
"2022-04",2022-01-24,2022-01-30,"A(H1N1)pdm2009",344,331,2
"2022-04",2022-01-24,2022-01-30,"FLU B",344,331,0
"2022-04",2022-01-24,2022-01-30,"SARS-CoV-2",344,331,126
"2022-05",2022-01-31,2022-02-06,"FLU A",265,255,10
"2022-05",2022-01-31,2022-02-06,"A",265,255,2
"2022-05",2022-01-31,2022-02-06,"A(H3N2)",265,255,8
"2022-05",2022-01-31,2022-02-06,"A(H1N1)pdm2009",265,255,0
"2022-05",2022-01-31,2022-02-06,"FLU B",265,255,0
"2022-05",2022-01-31,2022-02-06,"SARS-CoV-2",265,255,72
"2022-06",2022-02-07,2022-02-13,"FLU A",537,524,12
"2022-06",2022-02-07,2022-02-13,"A",537,524,0
"2022-06",2022-02-07,2022-02-13,"A(H3N2)",537,524,12
"2022-06",2022-02-07,2022-02-13,"A(H1N1)pdm2009",537,524,0
"2022-06",2022-02-07,2022-02-13,"FLU B",537,524,0
"2022-06",2022-02-07,2022-02-13,"SARS-CoV-2",537,524,230
"2022-07",2022-02-14,2022-02-20,"FLU A",394,388,17
"2022-07",2022-02-14,2022-02-20,"A",394,388,0
"2022-07",2022-02-14,2022-02-20,"A(H3N2)",394,388,17
"2022-07",2022-02-14,2022-02-20,"A(H1N1)pdm2009",394,388,0
"2022-07",2022-02-14,2022-02-20,"FLU B",394,388,0
"2022-07",2022-02-14,2022-02-20,"SARS-CoV-2",394,388,151
"2022-08",2022-02-21,2022-02-27,"FLU A",388,356,40
"2022-08",2022-02-21,2022-02-27,"A",388,356,0
"2022-08",2022-02-21,2022-02-27,"A(H3N2)",388,356,39
"2022-08",2022-02-21,2022-02-27,"A(H1N1)pdm2009",388,356,1
"2022-08",2022-02-21,2022-02-27,"FLU B",388,356,0
"2022-08",2022-02-21,2022-02-27,"SARS-CoV-2",388,356,94
"2022-09",2022-02-28,2022-03-06,"FLU A",487,479,75
"2022-09",2022-02-28,2022-03-06,"A",487,479,6
"2022-09",2022-02-28,2022-03-06,"A(H3N2)",487,479,69
"2022-09",2022-02-28,2022-03-06,"A(H1N1)pdm2009",487,479,0
"2022-09",2022-02-28,2022-03-06,"FLU B",487,479,0
"2022-09",2022-02-28,2022-03-06,"SARS-CoV-2",487,479,178
"2022-10",2022-03-07,2022-03-13,"FLU A",629,610,180
"2022-10",2022-03-07,2022-03-13,"A",629,610,48
"2022-10",2022-03-07,2022-03-13,"A(H3N2)",629,610,132
"2022-10",2022-03-07,2022-03-13,"A(H1N1)pdm2009",629,610,0
"2022-10",2022-03-07,2022-03-13,"FLU B",629,610,0
"2022-10",2022-03-07,2022-03-13,"SARS-CoV-2",629,610,154
"2022-11",2022-03-14,2022-03-20,"FLU A",758,741,303
"2022-11",2022-03-14,2022-03-20,"A",758,741,83
"2022-11",2022-03-14,2022-03-20,"A(H3N2)",758,741,219
"2022-11",2022-03-14,2022-03-20,"A(H1N1)pdm2009",758,741,1
"2022-11",2022-03-14,2022-03-20,"FLU B",758,741,0
"2022-11",2022-03-14,2022-03-20,"SARS-CoV-2",758,741,185
"2022-12",2022-03-21,2022-03-27,"FLU A",780,753,338
"2022-12",2022-03-21,2022-03-27,"A",780,753,120
"2022-12",2022-03-21,2022-03-27,"A(H3N2)",780,753,217
"2022-12",2022-03-21,2022-03-27,"A(H1N1)pdm2009",780,753,1
"2022-12",2022-03-21,2022-03-27,"FLU B",780,753,0
"2022-12",2022-03-21,2022-03-27,"SARS-CoV-2",780,753,211
"2022-13",2022-03-28,2022-04-03,"FLU A",705,676,301
"2022-13",2022-03-28,2022-04-03,"A",705,676,93
"2022-13",2022-03-28,2022-04-03,"A(H3N2)",705,676,207
"2022-13",2022-03-28,2022-04-03,"A(H1N1)pdm2009",705,676,1
"2022-13",2022-03-28,2022-04-03,"FLU B",705,676,0
"2022-13",2022-03-28,2022-04-03,"SARS-CoV-2",705,676,177
"2022-14",2022-04-04,2022-04-10,"FLU A",696,664,248
"2022-14",2022-04-04,2022-04-10,"A",696,664,102
"2022-14",2022-04-04,2022-04-10,"A(H3N2)",696,664,145
"2022-14",2022-04-04,2022-04-10,"A(H1N1)pdm2009",696,664,1
"2022-14",2022-04-04,2022-04-10,"FLU B",696,664,0
"2022-14",2022-04-04,2022-04-10,"SARS-CoV-2",696,664,233
"2022-15",2022-04-11,2022-04-17,"FLU A",491,472,142
"2022-15",2022-04-11,2022-04-17,"A",491,472,29
"2022-15",2022-04-11,2022-04-17,"A(H3N2)",491,472,112
"2022-15",2022-04-11,2022-04-17,"A(H1N1)pdm2009",491,472,1
"2022-15",2022-04-11,2022-04-17,"FLU B",491,472,1
"2022-15",2022-04-11,2022-04-17,"SARS-CoV-2",491,472,195
"2022-16",2022-04-18,2022-04-24,"FLU A",384,375,99
"2022-16",2022-04-18,2022-04-24,"A",384,375,14
"2022-16",2022-04-18,2022-04-24,"A(H3N2)",384,375,84
"2022-16",2022-04-18,2022-04-24,"A(H1N1)pdm2009",384,375,1
"2022-16",2022-04-18,2022-04-24,"FLU B",384,375,0
"2022-16",2022-04-18,2022-04-24,"SARS-CoV-2",384,375,136
"2022-17",2022-04-25,2022-05-01,"FLU A",437,431,64
"2022-17",2022-04-25,2022-05-01,"A",437,431,41
"2022-17",2022-04-25,2022-05-01,"A(H3N2)",437,431,23
"2022-17",2022-04-25,2022-05-01,"A(H1N1)pdm2009",437,431,0
"2022-17",2022-04-25,2022-05-01,"FLU B",437,431,0
"2022-17",2022-04-25,2022-05-01,"SARS-CoV-2",437,431,146
