"year_week","start_date","end_date","influenza_viruses","number_samples","number_sequenced","number_detections_influenza_viruses"
"2018-52",2018-12-24,2018-12-30,"FLU A",329,312,83
"2018-52",2018-12-24,2018-12-30,"A",329,312,6
"2018-52",2018-12-24,2018-12-30,"A(H3N2)",329,312,19
"2018-52",2018-12-24,2018-12-30,"A(H1N1) pdm09",329,312,58
"2018-52",2018-12-24,2018-12-30,"FLU B",329,312,0
"2019-01",2018-12-31,2019-01-06,"FLU A",462,426,142
"2019-01",2018-12-31,2019-01-06,"A",462,426,3
"2019-01",2018-12-31,2019-01-06,"A(H3N2)",462,426,41
"2019-01",2018-12-31,2019-01-06,"A(H1N1) pdm09",462,426,98
"2019-01",2018-12-31,2019-01-06,"FLU B",462,426,0
"2019-02",2019-01-07,2019-01-13,"FLU A",658,591,267
"2019-02",2019-01-07,2019-01-13,"A",658,591,15
"2019-02",2019-01-07,2019-01-13,"A(H3N2)",658,591,82
"2019-02",2019-01-07,2019-01-13,"A(H1N1) pdm09",658,591,170
"2019-02",2019-01-07,2019-01-13,"FLU B",658,591,3
"2019-03",2019-01-14,2019-01-20,"FLU A",986,859,560
"2019-03",2019-01-14,2019-01-20,"A",986,859,41
"2019-03",2019-01-14,2019-01-20,"A(H3N2)",986,859,176
"2019-03",2019-01-14,2019-01-20,"A(H1N1) pdm09",986,859,343
"2019-03",2019-01-14,2019-01-20,"FLU B",986,859,2
"2019-04",2019-01-21,2019-01-27,"FLU A",1270,1110,727
"2019-04",2019-01-21,2019-01-27,"A",1270,1110,14
"2019-04",2019-01-21,2019-01-27,"A(H3N2)",1270,1110,257
"2019-04",2019-01-21,2019-01-27,"A(H1N1) pdm09",1270,1110,456
"2019-04",2019-01-21,2019-01-27,"FLU B",1270,1110,1
"2019-05",2019-01-28,2019-02-03,"FLU A",1431,1352,833
"2019-05",2019-01-28,2019-02-03,"A",1431,1352,62
"2019-05",2019-01-28,2019-02-03,"A(H3N2)",1431,1352,316
"2019-05",2019-01-28,2019-02-03,"A(H1N1) pdm09",1431,1352,455
"2019-05",2019-01-28,2019-02-03,"FLU B",1431,1352,0
"2019-06",2019-02-04,2019-02-10,"FLU A",1563,1486,918
"2019-06",2019-02-04,2019-02-10,"A",1563,1486,84
"2019-06",2019-02-04,2019-02-10,"A(H3N2)",1563,1486,391
"2019-06",2019-02-04,2019-02-10,"A(H1N1) pdm09",1563,1486,443
"2019-06",2019-02-04,2019-02-10,"FLU B",1563,1486,0
"2019-07",2019-02-11,2019-02-17,"FLU A",1416,1337,742
"2019-07",2019-02-11,2019-02-17,"A",1416,1337,30
"2019-07",2019-02-11,2019-02-17,"A(H3N2)",1416,1337,378
"2019-07",2019-02-11,2019-02-17,"A(H1N1) pdm09",1416,1337,334
"2019-07",2019-02-11,2019-02-17,"FLU B",1416,1337,0
"2019-08",2019-02-18,2019-02-24,"FLU A",1294,1253,661
"2019-08",2019-02-18,2019-02-24,"A",1294,1253,81
"2019-08",2019-02-18,2019-02-24,"A(H3N2)",1294,1253,342
"2019-08",2019-02-18,2019-02-24,"A(H1N1) pdm09",1294,1253,238
"2019-08",2019-02-18,2019-02-24,"FLU B",1294,1253,2
"2019-09",2019-02-25,2019-03-03,"FLU A",924,853,468
"2019-09",2019-02-25,2019-03-03,"A",924,853,54
"2019-09",2019-02-25,2019-03-03,"A(H3N2)",924,853,298
"2019-09",2019-02-25,2019-03-03,"A(H1N1) pdm09",924,853,116
"2019-09",2019-02-25,2019-03-03,"FLU B",924,853,0
"2019-10",2019-03-04,2019-03-10,"FLU A",929,886,328
"2019-10",2019-03-04,2019-03-10,"A",929,886,38
"2019-10",2019-03-04,2019-03-10,"A(H3N2)",929,886,223
"2019-10",2019-03-04,2019-03-10,"A(H1N1) pdm09",929,886,67
"2019-10",2019-03-04,2019-03-10,"FLU B",929,886,0
"2019-11",2019-03-11,2019-03-17,"FLU A",667,619,192
"2019-11",2019-03-11,2019-03-17,"A",667,619,17
"2019-11",2019-03-11,2019-03-17,"A(H3N2)",667,619,138
"2019-11",2019-03-11,2019-03-17,"A(H1N1) pdm09",667,619,37
"2019-11",2019-03-11,2019-03-17,"FLU B",667,619,0
"2019-12",2019-03-18,2019-03-24,"FLU A",422,407,139
"2019-12",2019-03-18,2019-03-24,"A",422,407,16
"2019-12",2019-03-18,2019-03-24,"A(H3N2)",422,407,102
"2019-12",2019-03-18,2019-03-24,"A(H1N1) pdm09",422,407,21
"2019-12",2019-03-18,2019-03-24,"FLU B",422,407,0
"2019-13",2019-03-25,2019-03-31,"FLU A",406,392,62
"2019-13",2019-03-25,2019-03-31,"A",406,392,3
"2019-13",2019-03-25,2019-03-31,"A(H3N2)",406,392,45
"2019-13",2019-03-25,2019-03-31,"A(H1N1) pdm09",406,392,14
"2019-13",2019-03-25,2019-03-31,"FLU B",406,392,0
"2019-14",2019-04-01,2019-04-07,"FLU A",328,327,41
"2019-14",2019-04-01,2019-04-07,"A",328,327,4
"2019-14",2019-04-01,2019-04-07,"A(H3N2)",328,327,32
"2019-14",2019-04-01,2019-04-07,"A(H1N1) pdm09",328,327,5
"2019-14",2019-04-01,2019-04-07,"FLU B",328,327,0
"2019-15",2019-04-08,2019-04-14,"FLU A",271,267,24
"2019-15",2019-04-08,2019-04-14,"A",271,267,0
"2019-15",2019-04-08,2019-04-14,"A(H3N2)",271,267,18
"2019-15",2019-04-08,2019-04-14,"A(H1N1) pdm09",271,267,6
"2019-15",2019-04-08,2019-04-14,"FLU B",271,267,0
"2019-16",2019-04-15,2019-04-21,"FLU A",203,200,13
"2019-16",2019-04-15,2019-04-21,"A",203,200,2
"2019-16",2019-04-15,2019-04-21,"A(H3N2)",203,200,8
"2019-16",2019-04-15,2019-04-21,"A(H1N1) pdm09",203,200,3
"2019-16",2019-04-15,2019-04-21,"FLU B",84,82,0
"2019-17",2019-04-22,2019-04-28,"FLU A",84,82,4
"2019-17",2019-04-22,2019-04-28,"A",84,82,0
"2019-17",2019-04-22,2019-04-28,"A(H3N2)",84,82,2
"2019-17",2019-04-22,2019-04-28,"A(H1N1) pdm09",84,82,2
"2019-17",2019-04-22,2019-04-28,"FLU B",84,82,0
