"year_week","start_date","end_date","influenza_viruses","number_samples","number_detections_influenza_viruses"
"2016-05",2016-02-01,2016-02-07,"FLU B",530,133
"2016-06",2016-02-08,2016-02-14,"FLU A",638,119
"2016-06",2016-02-08,2016-02-14,"A",638,5
"2016-06",2016-02-08,2016-02-14,"A(H3N2)",638,74
"2016-06",2016-02-08,2016-02-14,"A(H1N1) pdm09",638,40
"2016-06",2016-02-08,2016-02-14,"FLU B",638,137
"2016-07",2016-02-15,2016-02-21,"FLU A",577,107
"2016-07",2016-02-15,2016-02-21,"A",577,5
"2016-07",2016-02-15,2016-02-21,"A(H3N2)",577,73
"2016-07",2016-02-15,2016-02-21,"A(H1N1) pdm09",577,29
"2016-07",2016-02-15,2016-02-21,"FLU B",577,154
"2016-08",2016-02-22,2016-02-28,"FLU A",629,123
"2016-08",2016-02-22,2016-02-28,"A",629,6
"2016-08",2016-02-22,2016-02-28,"A(H3N2)",629,81
"2016-08",2016-02-22,2016-02-28,"A(H1N1) pdm09",629,36
"2016-08",2016-02-22,2016-02-28,"FLU B",629,197
"2016-09",2016-02-29,2016-03-06,"FLU A",544,105
"2016-09",2016-02-29,2016-03-06,"A",544,11
"2016-09",2016-02-29,2016-03-06,"A(H3N2)",544,54
"2016-09",2016-02-29,2016-03-06,"A(H1N1) pdm09",544,40
"2016-09",2016-02-29,2016-03-06,"FLU B",544,152
"2016-10",2016-03-07,2016-03-13,"FLU A",519,82
"2016-10",2016-03-07,2016-03-13,"A",519,6
"2016-10",2016-03-07,2016-03-13,"A(H3N2)",519,59
"2016-10",2016-03-07,2016-03-13,"A(H1N1) pdm09",519,17
"2016-10",2016-03-07,2016-03-13,"FLU B",519,110
"2016-11",2016-03-14,2016-03-20,"FLU A",396,77
"2016-11",2016-03-14,2016-03-20,"A",396,4
"2016-11",2016-03-14,2016-03-20,"A(H3N2)",396,47
"2016-11",2016-03-14,2016-03-20,"A(H1N1) pdm09",396,26
"2016-11",2016-03-14,2016-03-20,"FLU B",396,116
"2016-12",2016-03-21,2016-03-27,"FLU A",315,51
"2016-12",2016-03-21,2016-03-27,"A",315,5
"2016-12",2016-03-21,2016-03-27,"A(H3N2)",315,26
"2016-12",2016-03-21,2016-03-27,"A(H1N1) pdm09",315,20
"2016-12",2016-03-21,2016-03-27,"FLU B",315,86
"2016-13",2016-03-28,2016-04-03,"FLU A",252,42
"2016-13",2016-03-28,2016-04-03,"A",252,14
"2016-13",2016-03-28,2016-04-03,"A(H3N2)",252,15
"2016-13",2016-03-28,2016-04-03,"A(H1N1) pdm09",252,13
"2016-13",2016-03-28,2016-04-03,"FLU B",252,71
"2016-14",2016-04-04,2016-04-10,"FLU A",234,32
"2016-14",2016-04-04,2016-04-10,"A",234,7
"2016-14",2016-04-04,2016-04-10,"A(H3N2)",234,11
"2016-14",2016-04-04,2016-04-10,"A(H1N1) pdm09",234,14
"2016-14",2016-04-04,2016-04-10,"FLU B",234,35
"2016-15",2016-04-11,2016-04-17,"FLU A",208,24
"2016-15",2016-04-11,2016-04-17,"A",208,1
"2016-15",2016-04-11,2016-04-17,"A(H3N2)",208,17
"2016-15",2016-04-11,2016-04-17,"A(H1N1) pdm09",208,6
"2016-15",2016-04-11,2016-04-17,"FLU B",208,31
"2016-16",2016-04-18,2016-04-24,"FLU A",164,7
"2016-16",2016-04-18,2016-04-24,"A",164,3
"2016-16",2016-04-18,2016-04-24,"A(H3N2)",164,3
"2016-16",2016-04-18,2016-04-24,"A(H1N1) pdm09",164,1
"2016-16",2016-04-18,2016-04-24,"FLU B",164,19
