"year_week","start_date","end_date","influenza_viruses","number_samples","number_sequenced","number_detections_influenza_viruses"
"2020-15",2020-04-06,2020-04-12,"FLU B",82,68,0
"2020-16",2020-04-13,2020-04-19,"FLU A",59,29,0
"2020-16",2020-04-13,2020-04-19,"A",59,29,0
"2020-16",2020-04-13,2020-04-19,"A(H3N2)",59,29,0
"2020-16",2020-04-13,2020-04-19,"A(H1N1) pdm09",59,29,0
"2020-16",2020-04-13,2020-04-19,"FLU B",59,29,0
"2020-17",2020-04-20,2020-04-26,"FLU A",62,33,0
"2020-17",2020-04-20,2020-04-26,"A",62,33,0
"2020-17",2020-04-20,2020-04-26,"A(H3N2)",62,33,0
"2020-17",2020-04-20,2020-04-26,"A(H1N1) pdm09",62,33,0
"2020-17",2020-04-20,2020-04-26,"FLU B",62,33,0
