"year_week","start_date","end_date","influenza_viruses","number_samples","number_detections_influenza_viruses"
"2015-01",2014-12-29,2015-01-04,"A(H1N1) pdm09",174,63
"2015-01",2014-12-29,2015-01-04,"FLU B",174,5
"2015-02",2015-01-05,2015-01-11,"FLU A",377,186
"2015-02",2015-01-05,2015-01-11,"A",377,12
"2015-02",2015-01-05,2015-01-11,"A(H3N2)",377,29
"2015-02",2015-01-05,2015-01-11,"A(H1N1) pdm09",377,145
"2015-02",2015-01-05,2015-01-11,"FLU B",377,7
"2015-03",2015-01-12,2015-01-18,"FLU A",617,384
"2015-03",2015-01-12,2015-01-18,"A",617,11
"2015-03",2015-01-12,2015-01-18,"A(H3N2)",617,108
"2015-03",2015-01-12,2015-01-18,"A(H1N1) pdm09",617,265
"2015-03",2015-01-12,2015-01-18,"FLU B",617,17
"2015-04",2015-01-19,2015-01-25,"FLU A",878,514
"2015-04",2015-01-19,2015-01-25,"A",878,36
"2015-04",2015-01-19,2015-01-25,"A(H3N2)",878,158
"2015-04",2015-01-19,2015-01-25,"A(H1N1) pdm09",878,320
"2015-04",2015-01-19,2015-01-25,"FLU B",878,19
"2015-05",2015-01-26,2015-02-01,"FLU A",835,486
"2015-05",2015-01-26,2015-02-01,"A",835,23
"2015-05",2015-01-26,2015-02-01,"A(H3N2)",835,206
"2015-05",2015-01-26,2015-02-01,"A(H1N1) pdm09",835,257
"2015-05",2015-01-26,2015-02-01,"FLU B",835,40
"2015-06",2015-02-02,2015-02-08,"FLU A",762,438
"2015-06",2015-02-02,2015-02-08,"A",762,27
"2015-06",2015-02-02,2015-02-08,"A(H3N2)",762,212
"2015-06",2015-02-02,2015-02-08,"A(H1N1) pdm09",762,199
"2015-06",2015-02-02,2015-02-08,"FLU B",762,47
"2015-07",2015-02-09,2015-02-15,"FLU A",841,332
"2015-07",2015-02-09,2015-02-15,"A",841,25
"2015-07",2015-02-09,2015-02-15,"A(H3N2)",841,179
"2015-07",2015-02-09,2015-02-15,"A(H1N1) pdm09",841,128
"2015-07",2015-02-09,2015-02-15,"FLU B",841,45
"2015-08",2015-02-16,2015-02-22,"FLU A",702,220
"2015-08",2015-02-16,2015-02-22,"A",702,18
"2015-08",2015-02-16,2015-02-22,"A(H3N2)",702,137
"2015-08",2015-02-16,2015-02-22,"A(H1N1) pdm09",702,65
"2015-08",2015-02-16,2015-02-22,"FLU B",702,45
"2015-09",2015-02-23,2015-03-01,"FLU A",556,137
"2015-09",2015-02-23,2015-03-01,"A",556,19
"2015-09",2015-02-23,2015-03-01,"A(H3N2)",556,88
"2015-09",2015-02-23,2015-03-01,"A(H1N1) pdm09",556,30
"2015-09",2015-02-23,2015-03-01,"FLU B",556,64
"2015-10",2015-03-02,2015-03-08,"FLU A",438,94
"2015-10",2015-03-02,2015-03-08,"A",438,13
"2015-10",2015-03-02,2015-03-08,"A(H3N2)",438,49
"2015-10",2015-03-02,2015-03-08,"A(H1N1) pdm09",438,32
"2015-10",2015-03-02,2015-03-08,"FLU B",438,70
"2015-11",2015-03-09,2015-03-15,"FLU A",321,54
"2015-11",2015-03-09,2015-03-15,"A",321,11
"2015-11",2015-03-09,2015-03-15,"A(H3N2)",321,27
"2015-11",2015-03-09,2015-03-15,"A(H1N1) pdm09",321,16
"2015-11",2015-03-09,2015-03-15,"FLU B",321,61
"2015-12",2015-03-16,2015-03-22,"FLU A",267,34
"2015-12",2015-03-16,2015-03-22,"A",267,5
"2015-12",2015-03-16,2015-03-22,"A(H3N2)",267,21
"2015-12",2015-03-16,2015-03-22,"A(H1N1) pdm09",267,8
"2015-12",2015-03-16,2015-03-22,"FLU B",267,51
"2015-13",2015-03-23,2015-03-29,"FLU A",278,29
"2015-13",2015-03-23,2015-03-29,"A",278,7
"2015-13",2015-03-23,2015-03-29,"A(H3N2)",278,15
"2015-13",2015-03-23,2015-03-29,"A(H1N1) pdm09",278,7
"2015-13",2015-03-23,2015-03-29,"FLU B",278,50
"2015-14",2015-03-30,2015-04-05,"FLU A",183,15
"2015-14",2015-03-30,2015-04-05,"A",183,2
"2015-14",2015-03-30,2015-04-05,"A(H3N2)",183,9
"2015-14",2015-03-30,2015-04-05,"A(H1N1) pdm09",183,4
"2015-14",2015-03-30,2015-04-05,"FLU B",183,35
"2015-15",2015-04-06,2015-04-12,"FLU A",149,6
"2015-15",2015-04-06,2015-04-12,"A",149,3
"2015-15",2015-04-06,2015-04-12,"A(H3N2)",149,2
"2015-15",2015-04-06,2015-04-12,"A(H1N1) pdm09",149,1
"2015-15",2015-04-06,2015-04-12,"FLU B",149,22
"2015-16",2015-04-13,2015-04-19,"FLU A",142,6
"2015-16",2015-04-13,2015-04-19,"A",142,1
"2015-16",2015-04-13,2015-04-19,"A(H3N2)",142,1
"2015-16",2015-04-13,2015-04-19,"A(H1N1) pdm09",142,4
"2015-16",2015-04-13,2015-04-19,"FLU B",142,15
"2015-17",2015-04-20,2015-04-26,"FLU A",105,1
"2015-17",2015-04-20,2015-04-26,"A",105,0
"2015-17",2015-04-20,2015-04-26,"A(H3N2)",105,0
"2015-17",2015-04-20,2015-04-26,"A(H1N1) pdm09",105,1
"2015-17",2015-04-20,2015-04-26,"FLU B",105,3
